pid	artist	location	label	_date	object_type	current_location	source	order	layout	collection	thumbnail	manifest	full
Obj1	unknown	unknown	Ackerstiefmütterchen | Viola arvensis	1925-1950	Blau	Stiftung Pestalozzianum	https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj1.jpg	0	qatar_item	arumacula	/img/derivatives/iiif/images/obj1/full/192,/0/default.jpg	/img/derivatives/iiif/obj1/manifest.json	/img/derivatives/iiif/images/obj1/full/full/0/default.jpg
Obj10	unknown	unknown	Feld-Kranzenzian | Gentiana campestris	1925-1950	Lila/Violett	Stiftung Pestalozzianum	https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj10.jpg	9	qatar_item	arumacula	/img/derivatives/iiif/images/obj10/full/181,/0/default.jpg	/img/derivatives/iiif/obj10/manifest.json	/img/derivatives/iiif/images/obj10/full/full/0/default.jpg
Obj11	unknown	unknown	Flatter-Binse | Juncus effusus	1925-1950	Blütenlos	Stiftung Pestalozzianum	https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj11.jpg	10	qatar_item	arumacula	/img/derivatives/iiif/images/obj11/full/192,/0/default.jpg	/img/derivatives/iiif/obj11/manifest.json	/img/derivatives/iiif/images/obj11/full/full/0/default.jpg
Obj12	unknown	unknown	Frühlings-Knotenblume | Leucojum vernum	1925-1950	Weiss	Stiftung Pestalozzianum	https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj12.jpg	11	qatar_item	arumacula	/img/derivatives/iiif/images/obj12/full/189,/0/default.jpg	/img/derivatives/iiif/obj12/manifest.json	/img/derivatives/iiif/images/obj12/full/full/0/default.jpg
Obj13	unknown	unknown	Frühlings-Platterbse | Orobus vernus	1925-1950	Lila/Violett	Stiftung Pestalozzianum	https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj13.jpg	12	qatar_item	arumacula	/img/derivatives/iiif/images/obj13/full/197,/0/default.jpg	/img/derivatives/iiif/obj13/manifest.json	/img/derivatives/iiif/images/obj13/full/full/0/default.jpg
Obj14	unknown	unknown	Gamander-Ehrenpreis | Veronica Chamaedrys	1925-1950	Blau	Stiftung Pestalozzianum	https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj14.jpg	13	qatar_item	arumacula	/img/derivatives/iiif/images/obj14/full/188,/0/default.jpg	/img/derivatives/iiif/obj14/manifest.json	/img/derivatives/iiif/images/obj14/full/full/0/default.jpg
Obj15	unknown	unknown	Gefleckter Aronstab | Arum maculatum	1925-1950	Blütenlos	Stiftung Pestalozzianum	https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj15.jpg	14	qatar_item	arumacula	/img/derivatives/iiif/images/obj15/full/181,/0/default.jpg	/img/derivatives/iiif/obj15/manifest.json	/img/derivatives/iiif/images/obj15/full/full/0/default.jpg
Obj16	unknown	unknown	Gestreifter Seidelbast | Daphne striata	1925-1950	Lila/Violett	Stiftung Pestalozzianum	https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj16.jpg	15	qatar_item	arumacula	/img/derivatives/iiif/images/obj16/full/193,/0/default.jpg	/img/derivatives/iiif/obj16/manifest.json	/img/derivatives/iiif/images/obj16/full/full/0/default.jpg
Obj17	unknown	unknown	Gewoehnlicher Kratzdistel | Cirsium lanceolatum	1925-1950	Blau	Stiftung Pestalozzianum	https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj17.jpg	16	qatar_item	arumacula	/img/derivatives/iiif/images/obj17/full/192,/0/default.jpg	/img/derivatives/iiif/obj17/manifest.json	/img/derivatives/iiif/images/obj17/full/full/0/default.jpg
Obj18	unknown	unknown	Grosse Kreuzblume | Polygala major	1925-1950	Lila/Violett	Stiftung Pestalozzianum	https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj18.jpg	17	qatar_item	arumacula	/img/derivatives/iiif/images/obj18/full/189,/0/default.jpg	/img/derivatives/iiif/obj18/manifest.json	/img/derivatives/iiif/images/obj18/full/full/0/default.jpg
Obj19	unknown	unknown	Heidelbeere | Vaccinium myrtillus	1925-1950	Blütenlos	Stiftung Pestalozzianum	https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj19.jpg	18	qatar_item	arumacula	/img/derivatives/iiif/images/obj19/full/185,/0/default.jpg	/img/derivatives/iiif/obj19/manifest.json	/img/derivatives/iiif/images/obj19/full/full/0/default.jpg
Obj2	unknown	unknown	Bittersüsser Nachtschatten | Solanum dulcamara	1925-1950	Blau	Stiftung Pestalozzianum	https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj2.jpg	1	qatar_item	arumacula	/img/derivatives/iiif/images/obj2/full/205,/0/default.jpg	/img/derivatives/iiif/obj2/manifest.json	/img/derivatives/iiif/images/obj2/full/full/0/default.jpg
Obj20	unknown	unknown	Hohe Schlüsselblume | Primula elatior	1925-1950	Gelb	Stiftung Pestalozzianum	https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj20.jpg	19	qatar_item	arumacula	/img/derivatives/iiif/images/obj20/full/189,/0/default.jpg	/img/derivatives/iiif/obj20/manifest.json	/img/derivatives/iiif/images/obj20/full/full/0/default.jpg
Obj3	unknown	unknown	Duftveilchen | Viola oderata	1925-1950	Lila/Violett	Stiftung Pestalozzianum	https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj3.jpg	2	qatar_item	arumacula	/img/derivatives/iiif/images/obj3/full/189,/0/default.jpg	/img/derivatives/iiif/obj3/manifest.json	/img/derivatives/iiif/images/obj3/full/full/0/default.jpg
Obj4	unknown	unknown	Echter Nelkenwurz | Geum urbanum	1925-1950	Gelb	Stiftung Pestalozzianum	https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj4.jpg	3	qatar_item	arumacula	/img/derivatives/iiif/images/obj4/full/188,/0/default.jpg	/img/derivatives/iiif/obj4/manifest.json	/img/derivatives/iiif/images/obj4/full/full/0/default.jpg
Obj5	unknown	unknown	Echter Wunderklee | Anthyllis vulneraria	1925-1950	Gelb	Stiftung Pestalozzianum	https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj5.jpg	4	qatar_item	arumacula	/img/derivatives/iiif/images/obj5/full/184,/0/default.jpg	/img/derivatives/iiif/obj5/manifest.json	/img/derivatives/iiif/images/obj5/full/full/0/default.jpg
Obj6	unknown	unknown	Echtes Labkraut | Galium verum	1925-1950	Gelb	Stiftung Pestalozzianum	https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj6.jpg	5	qatar_item	arumacula	/img/derivatives/iiif/images/obj6/full/197,/0/default.jpg	/img/derivatives/iiif/obj6/manifest.json	/img/derivatives/iiif/images/obj6/full/full/0/default.jpg
Obj7	unknown	unknown	Einjahrs-Knäuelkraut | Scleranthus annuus	1925-1950	Blütenlos	Stiftung Pestalozzianum	https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj7.jpg	6	qatar_item	arumacula	/img/derivatives/iiif/images/obj7/full/192,/0/default.jpg	/img/derivatives/iiif/obj7/manifest.json	/img/derivatives/iiif/images/obj7/full/full/0/default.jpg
Obj8	unknown	unknown	Eisenhutblättriger Hahnenfuss | Ranunculus aconitifolius	1925-1950	Weiss	Stiftung Pestalozzianum	https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj8.jpg	7	qatar_item	arumacula	/img/derivatives/iiif/images/obj8/full/209,/0/default.jpg	/img/derivatives/iiif/obj8/manifest.json	/img/derivatives/iiif/images/obj8/full/full/0/default.jpg
Obj9	unknown	unknown	Essbare Kastanie | Castanea vesca	1925-1950	Blütenlos	Stiftung Pestalozzianum	https://github.com/mariusstricker/glasdiashow/blob/main/_data/raw_images/glasdia/obj9.jpg	8	qatar_item	arumacula	/img/derivatives/iiif/images/obj9/full/207,/0/default.jpg	/img/derivatives/iiif/obj9/manifest.json	/img/derivatives/iiif/images/obj9/full/full/0/default.jpg